"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"Zeitraum: 10-2020";
"Filter: Inhalt > Thema > Nachrichten";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"AngebotsschlÃ¼ssel";"Angebot";"Typ";"ausgewiesene Tage";"Kat-Visits";"PIs in gewÃ¤hlten Kategorien gesamt";"PIs in gewÃ¤hlten Kategorien Inland";"PIs Anteil Inland";"PIs in gewÃ¤hlten Kategorien Ausland";
"VRM Online (ehem. Rhein Main Presse)";"VRM Online (ehem. Rhein Main Presse)";"Online (http://www.meine-vrm.de)";" 31/31";1.122.703;2.377.451;2.301.897;97 %;75.554;
"VRM Online (ehem. Rhein Main Presse)";"VRM Online Mobil (ehem. Rhein Main Presse Mobil)";"MEW (http://www.meine-vrm.de)";" 31/31";3.605.683;5.676.995;5.573.203;98 %;103.792;
"WA-Online";"WA-Online";"gesamt";" 31/31";15.579.125;34.243.716;33.560.245;98 %;683.471;
"WA-Online";"WA-Online";"Online (http://www.wa.de)";" 31/31";2.895.219;11.147.101;10.808.624;97 %;338.477;
"WA-Online";"WA-Online mobile";"MEW (http://www.wa.de/)";" 31/31";12.683.906;23.096.615;22.751.621;99 %;344.994;
"Waldeckische Landeszeitung";"Waldeckische Landeszeitung";"gesamt";" 31/31";501.765;975.016;939.462;96 %;35.554;
"Waldeckische Landeszeitung";"Waldeckische Landeszeitung";"Online (http://www.wlz-online.de)";" 31/31";142.280;347.820;331.598;95 %;16.222;
"Waldeckische Landeszeitung";"Waldeckische Landeszeitung Mobil";"MEW (http://www.wlz-online.de)";" 31/31";359.485;627.196;607.864;97 %;19.332;
"watson.de";"watson.de";"gesamt";" 31/31";4.582.789;6.891.995;6.525.868;95 %;366.127;
"watson.de";"watson.de";"Online (http://www.watson.de)";" 31/31";1.696.242;2.143.711;2.063.688;96 %;80.023;
"watson.de";"watson.de App";"Apps (gesamt)";" 31/31";71.202;222.768;210.126;94 %;12.642;
"watson.de";"watson.de App";"Apps (Smartphone)";" 31/31";71.202;222.768;210.126;94 %;12.642;
"watson.de";"watson.de mobil";"MEW (http://www.watson.de)";" 31/31";2.815.345;4.525.516;4.252.054;94 %;273.462;
"WEB.DE";"WEB.DE";"gesamt";" 31/31";114.227.589;280.119.467;272.475.834;97 %;7.643.633;
"WEB.DE";"WEB.DE";"Online (http://web.de)";" 31/31";72.844.186;185.325.436;180.129.778;97 %;5.195.658;
"WEB.DE";"WEB.DE";"Apps (gesamt)";" 31/31";4.430.365;10.718.703;10.513.066;98 %;205.637;
"WEB.DE";"WEB.DE";"Apps (Smartphone)";" 31/31";4.430.365;10.718.703;10.513.066;98 %;205.637;
"WEB.DE";"WEB.DE";"MEW (http://web.de)";" 31/31";36.953.038;84.075.328;81.832.990;97 %;2.242.338;
"WELT";"WELT";"gesamt";" 31/31";102.346.805;208.917.633;191.028.312;91 %;17.889.321;
"WELT";"WELT";"Online (http://www.welt.de)";" 31/31";26.064.801;48.924.047;42.552.212;87 %;6.371.835;
"WELT";"WELT Edition App";"Apps (gesamt)";" 31/31";1.050.671;11.316.073;10.359.941;92 %;956.132;
"WELT";"WELT Edition App";"Apps (Tablet)";" 31/31";1.050.671;11.316.073;10.359.941;92 %;956.132;
"WELT";"WELT News App";"Apps (gesamt)";" 31/31";15.606.406;62.950.099;59.078.396;94 %;3.871.703;
"WELT";"WELT News App";"Apps (Smartphone)";" 31/31";15.606.406;62.950.099;59.078.396;94 %;3.871.703;
"WELT";"WELT Mobil";"MEW (http://www.welt.de)";" 31/31";59.624.927;85.727.414;79.037.763;92 %;6.689.651;
"wer weiss was";"wer weiss was";"gesamt";" 28/31";1.470;1.878;1.534;82 %;344;
"wer weiss was";"wer weiss was";"Online (http://www.wer-weiss-was.de)";" 28/31";1.470;1.878;1.534;82 %;344;
"Werra-Rundschau";"Werra-Rundschau";"gesamt";" 31/31";590.437;1.368.750;1.334.158;97 %;34.592;
"Werra-Rundschau";"Werra-Rundschau";"Online (http://www.werra-rundschau.de)";" 31/31";131.701;382.682;367.388;96 %;15.294;
"Werra-Rundschau";"Werra-Rundschau mobile";"MEW (http://www.werra-rundschau.de/)";" 31/31";458.736;986.068;966.770;98 %;19.298;
"WESER-KURIER Online";"WESER-KURIER Online";"gesamt";" 31/31";3.847.676;5.900.524;5.676.157;96 %;224.367;
"WESER-KURIER Online";"WESER-KURIER Online";"Online (http://www.weser-kurier.de)";" 31/31";993.095;1.854.203;1.760.552;95 %;93.651;
"WESER-KURIER Online";"WESER-KURIER Mobil";"MEW (http://www.weser-kurier.de)";" 31/31";2.854.581;4.046.321;3.915.605;97 %;130.716;
"Westdeutsche Zeitung";"Westdeutsche Zeitung";"gesamt";" 31/31";2.454.942;4.854.987;4.583.519;94 %;271.468;
"Westdeutsche Zeitung";"Westdeutsche Zeitung";"Online (http://www.wz.de)";" 31/31";754.720;1.653.680;1.539.351;93 %;114.329;
"Westdeutsche Zeitung";"Westdeutsche Zeitung Mobile";"MEW (http://www.wz.de/mobile)";" 31/31";1.700.222;3.201.307;3.044.168;95 %;157.139;
"Westfalen-Blatt";"Westfalen-Blatt";"gesamt";" 31/31";2.500.207;4.595.931;4.474.624;97 %;121.307;
"Westfalen-Blatt";"Westfalen-Blatt";"Online (http://www.westfalen-blatt.de)";" 31/31";726.296;1.451.475;1.386.411;96 %;65.064;
"Westfalen-Blatt";"WESTFALEN-BLATT News App (Smartphone-Apps)";"Apps (gesamt)";" 31/31";95.323;403.921;400.157;99 %;3.764;
"Westfalen-Blatt";"WESTFALEN-BLATT News App (Smartphone-Apps)";"Apps (Smartphone)";" 31/31";95.323;403.921;400.157;99 %;3.764;
"Westfalen-Blatt";"WESTFALEN-BLATT News App (Tablet-Apps)";"Apps (gesamt)";" 31/31";7.605;41.397;40.479;98 %;918;
"Westfalen-Blatt";"WESTFALEN-BLATT News App (Tablet-Apps)";"Apps (Tablet)";" 31/31";7.605;41.397;40.479;98 %;918;
"Westfalen-Blatt";"Westfalen-Blatt mobile";"MEW (http://m.westfalen-blatt.de)";" 31/31";1.670.983;2.699.138;2.647.577;98 %;51.561;
"wetter.com";"wetter.com";"gesamt";" 31/31";147.656.636;509.050.338;474.676.515;93 %;34.373.823;
"wetter.com";"wetter.com";"Online (http://www.wetter.com)";" 31/31";46.188.268;101.469.948;86.140.694;85 %;15.329.254;
"wetter.com";"Wetter.com App";"Apps (gesamt)";" 31/31";101.468.368;407.580.390;388.535.821;95 %;19.044.569;
"wetter.com";"Wetter.com App";"Apps (Smartphone)";" 31/31";95.719.277;391.865.787;373.724.929;95 %;18.140.858;
"wetter.com";"Wetter.com App";"Apps (Tablet)";" 31/31";5.749.091;15.714.603;14.810.892;94 %;903.711;
"Wetter.de";"Wetter.de";"gesamt";" 31/31";25.796.885;57.612.826;55.417.725;96 %;2.195.101;
"Wetter.de";"Wetter.de";"Online (http://www.wetter.de)";" 31/31";17.813.934;37.081.659;35.577.327;96 %;1.504.332;
"Wetter.de";"wetter.de App";"Apps (gesamt)";" 31/31";7.982.951;20.531.167;19.840.398;97 %;690.769;
"Wetter.de";"wetter.de App";"Apps (Smartphone)";" 31/31";7.982.951;20.531.167;19.840.398;97 %;690.769;
"Wetter24.de";"Wetter24.de";"gesamt";" 31/31";952.523;2.538.832;2.305.510;91 %;233.322;
"Wetter24.de";"Wetter24.de";"Online (http://www.wetter24.de)";" 31/31";952.523;2.538.832;2.305.510;91 %;233.322;
"Wetterauer Zeitung";"Wetterauer Zeitung";"gesamt";" 31/31";1.077.397;1.760.957;1.708.874;97 %;52.083;
"Wetterauer Zeitung";"Wetterauer Zeitung";"Online (http://www.wetterauer-zeitung.de)";" 31/31";217.156;495.322;475.712;96 %;19.610;
"Wetterauer Zeitung";"Wetterauer Zeitung mobil";"MEW (https://www.wetterauer-zeitung.de)";" 31/31";860.241;1.265.635;1.233.162;97 %;32.473;
"WetterOnline";"WetterOnline";"gesamt";" 31/31";439.191.336;925.128.932;503.046.804;54 %;422.082.128;
"WetterOnline";"WetterOnline";"Online (http://wetteronline.de)";" 31/31";53.743.481;139.083.144;120.212.209;86 %;18.870.935;
"WetterOnline";"RegenRadar";"Apps (gesamt)";" 31/31";35.703.248;69.655.652;66.169.485;95 %;3.486.167;
"WetterOnline";"RegenRadar";"Apps (Smartphone)";" 31/31";35.703.248;69.655.652;66.169.485;95 %;3.486.167;
"WetterOnline";"WetterOnline";"Apps (gesamt)";" 31/31";349.744.607;716.390.136;316.665.110;44 %;399.725.026;
"WetterOnline";"WetterOnline";"Apps (Smartphone)";" 31/31";349.744.607;716.390.136;316.665.110;44 %;399.725.026;
"WirtschaftsWoche";"WirtschaftsWoche";"gesamt";" 31/31";714.952;1.295.119;1.125.538;87 %;169.581;
"WirtschaftsWoche";"WirtschaftsWoche";"Online (http://www.wiwo.de)";" 31/31";429.633;750.976;641.145;85 %;109.831;
"WirtschaftsWoche";"Wirtschaftswoche mobil";"MEW (http://app.wiwo.de)";" 31/31";285.319;544.143;484.393;89 %;59.750;
"WO - wochenspiegelonline.de";"WO - wochenspiegelonline.de";"gesamt";" 31/31";28;35;34;97 %;1;
"WO - wochenspiegelonline.de";"WO - wochenspiegelonline.de";"Online (http://www.wochenspiegelonline.de)";" 31/31";26;32;31;97 %;1;
"WO - wochenspiegelonline.de";"Wochenspiegel Mobil";"MEW (http://www.wochenspiegelonline.de/mobil/)";" 31/31";2;3;3;100 %;---;
"Wochenblatt.de";"Wochenblatt.de";"gesamt";" 31/31";912.656;1.619.146;1.571.820;97 %;47.326;
"Wochenblatt.de";"Wochenblatt.de";"Online (http://www.wochenblatt.de)";" 31/31";277.551;532.229;511.279;96 %;20.950;
"Wochenblatt.de";"Wochenblatt App";"Apps (gesamt)";" 31/31";85.716;307.164;305.765;100 %;1.399;
"Wochenblatt.de";"Wochenblatt App";"Apps (Smartphone)";" 31/31";85.716;307.164;305.765;100 %;1.399;
"Wochenblatt.de";"Wochenblatt mobil";"MEW (https://wochenblatt.de)";" 31/31";549.389;779.753;754.776;97 %;24.977;
"Yacht";"Yacht";"gesamt";" 31/31";329;413;316;77 %;97;
"Yacht";"Yacht";"Online (http://www.yacht.de)";" 31/31";329;413;316;77 %;97;
"ZEIT ONLINE";"ZEIT ONLINE";"gesamt";" 31/31";39.198.158;74.664.183;67.304.574;90 %;7.359.609;
"ZEIT ONLINE";"ZEIT ONLINE";"Online (http://www.zeit.de)";" 31/31";6.936.095;14.819.718;13.062.715;88 %;1.757.003;
"ZEIT ONLINE";"ze.tt App";"Apps (gesamt)";" 31/31";2.063;2.153;1.865;87 %;288;
"ZEIT ONLINE";"ze.tt App";"Apps (Smartphone)";" 31/31";2.063;2.153;1.865;87 %;288;
"ZEIT ONLINE";"ZEIT ONLINE";"Apps (gesamt)";" 31/31";14.525.827;31.605.127;29.004.403;92 %;2.600.724;
"ZEIT ONLINE";"ZEIT ONLINE";"Apps (Smartphone)";" 31/31";14.525.827;31.605.127;29.004.403;92 %;2.600.724;
"ZEIT ONLINE";"ZEIT ONLINE mobil";"MEW (http://mobil.zeit.de)";" 31/31";17.734.173;28.237.185;25.235.591;89 %;3.001.594;
"Zeitungsgruppe Münster/Westfälische Nachrichten";"Zeitungsgruppe Münster/Westfälische Nachrichten";"gesamt";" 31/31";5.229.984;10.611.559;10.373.808;98 %;237.751;
"Zeitungsgruppe Münster/Westfälische Nachrichten";"Zeitungsgruppe Münster/Westfälische Nachrichten";"Online (http://www.zeitungsgruppe-muenster.de)";" 31/31";1.047.951;2.089.306;1.984.062;95 %;105.244;
"Zeitungsgruppe Münster/Westfälische Nachrichten";"MZ News App";"Apps (gesamt)";" 31/31";17.739;79.333;78.442;99 %;891;
"Zeitungsgruppe Münster/Westfälische Nachrichten";"MZ News App";"Apps (Smartphone)";" 31/31";15.524;62.246;61.572;99 %;674;
"Zeitungsgruppe Münster/Westfälische Nachrichten";"MZ News App";"Apps (Tablet)";" 31/31";2.215;17.087;16.870;99 %;217;
"Zeitungsgruppe Münster/Westfälische Nachrichten";"WN News App";"Apps (gesamt)";" 31/31";382.972;2.263.925;2.239.903;99 %;24.022;
"Zeitungsgruppe Münster/Westfälische Nachrichten";"WN News App";"Apps (Smartphone)";" 31/31";329.626;1.776.215;1.757.937;99 %;18.278;
"Zeitungsgruppe Münster/Westfälische Nachrichten";"WN News App";"Apps (Tablet)";" 31/31";53.346;487.710;481.966;99 %;5.744;
"Zeitungsgruppe Münster/Westfälische Nachrichten";"Münstersche Zeitung mobil";"MEW (http://www.muensterschezeitung.de)";" 31/31";243.990;410.556;403.525;98 %;7.031;
"Zeitungsgruppe Münster/Westfälische Nachrichten";"Westfälische Nachrichten Mobil";"MEW (http://www.wn.de)";" 31/31";3.537.332;5.768.439;5.667.876;98 %;100.563;
"Zeitungsverlag Schwerin GmbH & Co. KG";"Zeitungsverlag Schwerin GmbH & Co. KG";"gesamt";" 31/31";853.169;1.781.721;1.676.910;94 %;104.811;
"Zeitungsverlag Schwerin GmbH & Co. KG";"Zeitungsverlag Schwerin GmbH & Co. KG";"Online (http://www.svz.de)";" 31/31";480.403;1.170.953;1.088.969;93 %;81.984;
"Zeitungsverlag Schwerin GmbH & Co. KG";"svz mobil";"MEW (http://www.svz.de)";" 31/31";372.766;610.768;587.941;96 %;22.827;
"ZfK Zeitung für kommunale Wirtschaft";"ZfK Zeitung für kommunale Wirtschaft";"gesamt";" 31/31";28.848;44.721;42.401;95 %;2.320;
"ZfK Zeitung für kommunale Wirtschaft";"ZfK Zeitung für kommunale Wirtschaft";"Online (http://www.zfk.de)";" 31/31";28.848;44.721;42.401;95 %;2.320;
"zm-online.de";"zm-online.de";"gesamt";" 31/31";632.268;1.006.995;907.578;90 %;99.417;
"zm-online.de";"zm-online.de";"Online (http://www.zm-online.de)";" 31/31";632.268;1.006.995;907.578;90 %;99.417;
